city_name,longitude,latitude,max_temp,humidity,cloudiness,wind_speed,country,city_date
Nanortalik,-45.24,60.14,273.1,95,100,5.55,GL,1586764036
Beijing,116.4,39.91,302.04,8,44,4.0,CN,1586763950
Nouadhibou,-17.03,20.93,291.15,72,0,7.2,MR,1586764037
Klaksvík,-6.59,62.23,275.15,64,85,3.1,FO,1586764038
Ngerengere,38.12,-6.75,298.19,85,95,2.49,TZ,1586763992
Twin Falls,-114.46,42.56,273.71,63,75,5.7,US,1586763956
Montecristo,-74.47,8.3,297.72,91,37,0.92,CO,1586764040
Charters Towers,146.27,-20.1,297.47,64,25,6.3,AU,1586764040
Nelson Bay,152.15,-32.72,293.15,64,100,3.1,AU,1586764041
Grand Gaube,57.66,-20.01,300.37,94,75,1.5,MU,1586764042
Nizhniy Tsasuchey,115.13,50.52,284.89,33,84,6.35,RU,1586764042
Abu Dhabi,54.37,24.47,305.37,29,100,3.6,AE,1586763920
Aksarka,67.8,66.56,268.88,96,100,6.26,RU,1586764044
Codrington,141.97,-38.27,286.3,72,45,1.57,AU,1586764044
Shangrao,117.97,28.45,291.92,47,1,1.73,CN,1586764045
Paita,-81.11,-5.09,296.58,73,97,3.75,PE,1586764046
Aklavik,-135.01,68.22,270.15,58,90,4.1,CA,1586764047
Kayes,-11.0,14.0,305.33,25,0,3.69,ML,1586764047
Beauchamps,1.52,50.01,286.48,76,90,7.7,FR,1586764048
Siirt,41.94,37.93,289.15,47,20,1.5,TR,1586763918
Alice Springs,133.88,-23.7,304.15,20,0,5.7,AU,1586764049
Madarounfa,7.16,13.31,303.15,16,39,5.1,NE,1586764050
Honningsvåg,25.97,70.98,274.26,91,100,14.97,NO,1586764051
Rosario,-60.64,-32.95,293.15,82,90,3.1,AR,1586764051
Pisco,-76.22,-13.7,293.15,88,57,4.1,PE,1586764052
Koslan,48.9,63.46,273.89,80,3,3.26,RU,1586764053
Vuktyl,57.31,63.86,273.29,93,96,3.97,RU,1586764053
Coquimbo,-71.34,-29.95,289.15,77,0,3.02,CL,1586764054
Tabou,-7.35,4.42,302.04,72,95,1.48,CI,1586764055
Yar-Sale,70.83,66.83,269.19,97,100,6.0,RU,1586764056
Diamantino,-56.45,-14.41,295.41,85,48,1.28,BR,1586764057
Yaan,8.57,7.38,303.67,56,79,3.51,NG,1586764057
Sobolevo,31.9,54.43,284.39,50,100,7.52,RU,1586764058
Kon Tum,108.0,14.35,300.11,48,98,3.37,VN,1586764059
Mayskiy,40.1,47.69,285.15,18,1,6.0,RU,1586764059
Jagtiāl,78.93,18.8,315.01,10,5,1.72,IN,1586764060
Mednogorsk,57.59,51.41,275.66,72,100,8.04,RU,1586764061
Talnakh,88.4,69.49,269.15,85,75,1.0,RU,1586763766
Tegul'det,88.17,57.31,284.27,56,0,4.2,RU,1586764062
Terney,136.61,45.05,276.75,73,0,0.59,RU,1586764063
Aborlan,118.55,9.44,306.15,55,20,4.1,PH,1586764063
Kaduqli,29.72,11.02,308.57,8,100,4.57,SD,1586764064
Tanout,8.89,14.97,307.56,9,1,9.68,NE,1586764065
Shubarshi,57.19,48.59,279.42,56,100,12.11,KZ,1586764066
Shimoda,138.95,34.67,284.15,81,75,4.6,JP,1586764066
Anloga,0.9,5.79,302.15,83,20,3.1,GH,1586764067
Kochubey,46.58,44.39,285.6,37,0,5.4,RU,1586764068
Ovalle,-71.2,-30.6,283.33,76,18,1.3,CL,1586764068
Kiryat Gat,34.76,31.61,294.82,59,0,2.1,IL,1586764069
Gboko,9.0,7.32,303.77,55,60,5.38,NG,1586764070
Flin Flon,-101.86,54.77,255.77,90,88,3.2,CA,1586764070
Muisne,-80.03,0.6,297.58,88,87,1.88,EC,1586764071
Hasaki,140.83,35.73,283.15,93,75,14.4,JP,1586764072
Cayenne,-52.33,4.93,298.15,94,95,3.5,GF,1586764072
Concord,-122.03,37.98,286.15,76,1,6.7,US,1586763987
Iisalmi,27.19,63.56,273.15,75,90,4.1,FI,1586764074
Le Port,55.29,-20.94,302.15,69,99,8.2,RE,1586763959
Río Gallegos,-69.22,-51.62,284.15,62,90,7.2,AR,1586764077
Bodden Town,-81.25,19.28,300.93,78,7,4.02,KY,1586764077
Senanga,23.27,-16.12,301.14,36,0,2.17,ZM,1586764078
La Ronge,-105.28,55.1,260.15,71,90,4.1,CA,1586764080
Hibbing,-92.94,47.43,268.15,53,75,7.2,US,1586764058
Novotroitsk,58.33,51.2,276.15,74,75,11.0,RU,1586764082
Boa Vista,-60.67,2.82,299.15,69,89,2.6,BR,1586764083
Glazov,52.66,58.14,276.18,87,100,3.57,RU,1586764083
Avallon,3.9,47.48,288.25,54,15,1.82,FR,1586764084
Sabalgarh,77.4,26.25,314.37,10,0,4.49,IN,1586763825
Goma,29.22,-1.68,296.15,69,75,1.5,CD,1586764085
Staryy Nadym,72.68,65.61,274.17,98,100,1.33,RU,1586764086
Minas,-55.24,-34.38,290.15,88,100,4.1,UY,1586764087
Buala,159.59,-8.14,301.49,77,69,3.34,SB,1586764087
Sitka,-135.33,57.05,280.15,70,90,2.1,US,1586763942
Fuerte Olimpo,-57.87,-21.04,294.19,66,0,1.81,PY,1586764089
Roald,6.13,62.58,274.82,69,75,8.2,NO,1586764089
Khovd,91.64,48.01,285.36,22,82,2.39,MN,1586764090
Viedma,-63.0,-40.81,283.72,72,7,3.5,AR,1586764091
Atar,-13.05,20.52,299.02,22,2,5.68,MR,1586764091
Bay Roberts,-53.26,47.6,272.04,79,5,5.1,CA,1586764092
Asău,26.4,46.43,292.59,46,98,7.2,RO,1586764093
Kamenka,42.77,51.32,280.37,45,21,3.13,RU,1586764093
Banda Aceh,95.32,5.56,302.33,72,100,1.25,ID,1586764095
Forbes,148.02,-33.38,291.48,53,35,1.68,AU,1586764096
Ancud,-73.82,-41.87,281.15,100,90,1.5,CL,1586764096
Kattivākkam,80.32,13.22,307.15,56,20,5.1,IN,1586764097
Vicuña,-70.71,-30.03,289.15,77,0,1.27,CL,1586764098
Zyryanka,150.85,65.75,269.74,97,100,1.98,RU,1586764098
Jiangyou,104.72,31.77,288.15,63,99,2.05,CN,1586764099
Garissa,39.64,-0.45,304.42,55,99,4.74,KE,1586764100
Cochrane,-114.47,51.18,266.15,79,75,2.6,CA,1586763809
Severo-Kuril'sk,156.12,50.68,271.18,93,90,4.3,RU,1586764101
Tongchuanshi,109.09,35.08,292.85,18,95,3.37,CN,1586764102
Tieling,123.84,42.29,294.39,20,0,2.06,CN,1586764102
Tiarei,-149.33,-17.53,302.15,79,20,3.1,PF,1586764103
Nome,-165.41,64.5,272.15,100,90,1.5,US,1586764104
Huilong,121.66,31.81,292.04,32,0,1.34,CN,1586764104
Praia,-23.51,14.92,295.15,64,25,3.1,CV,1586763915
Chicama,-79.15,-7.84,296.25,73,78,1.91,PE,1586764106
Santiago del Estero,-64.26,-27.8,291.05,58,69,1.52,AR,1586763861
