city_name,latitude,temperature,humidity,cloudiness,wind_speed
Olinda,-8.01,302.15,70,20,3.1
Kirovskiy,45.09,274.97,76,18,2.15
Port Moresby,-9.44,298.15,100,75,1.0
Flin Flon,54.77,264.15,47,90,6.2
Rio Brilhante,-21.8,299.46,58,23,1.95
Buala,-8.14,301.53,78,90,3.55
Broken Hill,-31.95,283.15,57,23,3.1
Husavik,66.04,279.15,60,16,12.9
Novyy Svit,47.81,278.73,55,0,1.83
Egvekinot,66.32,266.38,85,36,0.63
Neiafu,-18.65,301.15,74,20,4.6
Norman Wells,65.28,275.15,47,75,4.6
Yatou,37.15,280.49,66,0,6.79
Motygino,58.18,272.84,91,0,2.27
Lavrentiya,65.58,271.16,97,100,1.36
Zholymbet,51.74,280.21,63,54,3.42
Evanston,42.04,289.18,67,90,6.7
Ketchikan,55.34,283.36,43,1,2.6
Forsytheganj,52.63,278.78,59,87,4.38
Matara,5.95,298.28,89,0,2.05
Santa Ana Xalmimilulco,19.22,300.15,13,75,14.9
Biak,-0.91,299.25,71,5,1.06
Nūrpur,29.15,298.43,27,19,2.32
Bilibino,68.05,260.26,88,1,0.43
Pineville,31.32,299.69,73,90,6.7
Leshukonskoye,64.9,267.46,95,0,2.44
Namatanai,-3.67,300.79,75,93,1.21
Huejuquilla el Alto,22.6,300.13,7,69,9.2
Fort Saint James,54.43,279.21,46,0,0.9
Savonlinna,61.87,277.1,100,90,5.7
Voloshka,61.33,270.13,90,42,4.11
Kangalassy,62.35,271.15,63,0,5.0
Monterrey,25.67,308.64,2,5,13.9
Zima,53.92,272.49,78,0,0.9
Lorengau,-2.02,301.23,75,27,1.6
Jijiang,29.29,289.01,72,100,2.0
Burns Lake,54.23,281.15,38,0,0.65
Xichang,27.9,284.89,44,98,0.38
Krasnosel'kup,65.7,274.95,98,100,3.14
Kumluca,36.37,289.43,53,0,2.09
Qui Nhon,13.77,297.67,87,100,4.32
Oussouye,12.48,298.15,83,40,3.1
Port Blair,11.67,300.97,72,84,1.7
Erenhot,43.65,280.57,29,100,2.97
Port Hedland,-20.32,300.15,78,90,2.6
Alcúdia,39.85,288.85,82,100,2.6
Druzhba,52.04,277.17,64,86,3.56
Santiago,-33.46,291.15,59,75,1.0
Key Largo,25.09,301.68,79,75,5.7
Biltine,14.53,299.49,13,35,4.73
Jambi City,-1.6,296.99,95,100,0.32
Yulara,-25.24,292.15,45,0,2.6
Sulangan,11.14,300.01,73,0,1.88
Greer,34.94,286.38,93,90,4.6
Clyde River,70.47,261.15,85,90,12.9
Katherine,-14.47,295.15,88,61,2.6
Mizdah,31.45,287.98,45,0,8.64
Port Hueneme,34.15,288.02,77,90,4.6
Tabasalu,59.43,279.25,87,75,6.2
Sioux Lookout,50.1,273.15,72,75,5.1
Baykit,61.67,269.25,94,26,0.28
Alihe,50.57,278.26,51,31,1.2
Aksu,41.12,288.62,19,2,1.6
Bangassou,4.74,296.28,76,100,1.05
Luau,-10.71,291.83,69,82,1.85
Salinópolis,-0.61,301.09,81,98,6.01
Khuzhir,53.19,271.06,85,4,2.37
Lucapa,-8.42,293.99,72,99,1.13
Santa,17.49,295.51,83,0,2.26
Vanimo,-2.67,299.0,85,100,3.35
Ewo,-0.87,296.38,79,95,1.36
San Javier,37.81,287.78,93,91,5.7
Denpasar,-8.65,298.15,94,20,2.6
Şebinkarahisar,40.29,271.0,55,33,0.8
Miyang,24.4,285.53,48,100,1.67
Merauke,-8.47,298.02,92,96,3.42
Tocopilla,-22.09,298.41,36,21,2.24
Saint-Joseph,-21.37,293.14,83,94,2.6
Aitape,-3.14,299.21,83,100,2.29
Riyadh,24.69,295.15,26,81,5.1
Severo-Yeniseyskiy,60.37,269.21,92,0,1.22
Ubari,26.59,299.15,15,0,5.06
Samarai,-10.62,298.96,72,62,2.82
Asău,46.43,283.49,43,1,6.7
Pacific Grove,36.62,286.5,82,90,4.1
Altusried,47.8,285.03,66,96,1.0
Borogontsy,62.67,266.24,95,22,3.22
Esperance,-33.87,290.15,100,16,1.0
Rincón de la Victoria,36.72,287.19,82,75,4.1
Wagar,16.15,295.81,36,91,4.43
Nabire,-3.37,297.04,83,74,1.58
Swan Hill,-35.34,283.11,72,77,1.15
Yarmolyntsi,49.19,282.59,43,7,1.34
Mitú,1.2,300.76,85,93,0.19
Korla,41.76,287.85,81,55,2.24
Rio Grande,-32.03,294.2,60,20,6.7
Dakar,14.69,296.15,88,30,3.1
Makat,47.65,278.96,61,19,7.16
Wah,33.8,293.26,77,20,3.1
Kardailovo,51.54,275.33,82,89,6.62
Surgut,61.25,278.15,65,100,3.0
Borba,-4.39,301.24,85,98,0.79
Ntchisi,-13.53,288.1,64,89,0.9
Sumbawanga,-7.97,288.3,59,94,1.13
Cap Malheureux,-19.98,298.87,74,40,5.1
Dicabisagan,17.08,297.26,86,92,4.63
Saint-Augustin,51.23,274.53,86,11,5.16
Berlin,52.52,286.12,62,2,1.0
Banepā,27.63,291.15,88,75,1.0
Harper,4.38,300.69,82,100,3.39
Half Moon Bay,37.46,289.79,87,75,3.1
Kysyl-Syr,63.9,268.37,97,30,3.03
Mt. Pleasant,32.79,294.56,83,90,5.7
Yerbogachën,61.28,270.91,95,4,1.75
Champerico,14.3,307.15,52,40,6.2
Umarkot,25.36,304.15,19,0,4.33
Normandin,48.83,279.17,52,75,6.2
Amboasary,-25.03,295.66,83,0,2.42
Keetmanshoop,-26.58,295.15,28,6,1.5
Itoman,26.12,290.37,36,40,10.8
Oodweyne,9.41,300.16,36,21,2.91
Nogliki,51.83,269.08,97,7,1.98
Sweetwater,25.76,302.22,74,75,7.7
Mehamn,71.04,271.31,68,100,2.6
Yaypan,40.38,290.75,63,100,0.6
Marzuq,14.4,295.8,50,79,2.37
Aljezur,37.32,289.26,88,1,5.03
Winslow,35.02,287.53,44,75,3.1
Abhar,36.15,279.66,48,100,0.85
Corinth,37.94,285.94,71,0,1.06
Sos'va,59.18,279.06,90,100,2.44
Shetpe,44.17,279.49,54,77,6.32
Rurrenabaque,-14.44,304.02,48,28,0.95
Kamina,-8.74,292.89,68,100,1.0
Panjāb,34.39,277.47,37,98,0.37
Aswān,24.09,295.15,14,11,4.6
Ilebo,-4.32,295.47,86,83,1.39
Oranjemund,-28.55,289.46,93,22,2.49
Yate,51.54,286.41,62,100,2.6
Gremyachinsk,58.56,275.37,75,100,0.45
Kiruna,67.86,269.15,92,90,7.2
Simbahan,6.3,300.66,66,0,1.89
Batemans Bay,-35.72,282.55,100,100,1.26
Zhezkazgan,47.8,279.5,64,0,3.29
Inírida,3.87,305.11,61,100,0.55
Bowen,-20.02,297.08,94,90,2.1
Puerto Ayacucho,5.66,310.15,29,40,1.0
Wexford,52.33,282.86,87,40,5.1
São João da Barra,-21.64,296.62,73,75,2.1
Esil,51.96,279.28,58,0,3.47
Kupang,-10.17,298.15,94,75,2.1
Montoro,38.02,290.16,72,59,4.6
Tessalit,20.2,303.63,14,32,2.4
Coquimbo,-29.95,290.15,72,75,3.6
Saint George,37.1,292.33,34,20,4.6
Bone,51.97,286.65,58,71,2.1
Halifax,44.65,282.54,29,90,7.2
Rocha,-34.48,292.26,63,81,2.8
Bantou,26.22,280.86,66,18,0.91
Alekseyevskaya,50.29,275.37,63,13,1.79
Jacksonville Beach,30.29,301.12,78,90,9.8
Nadadores,27.05,304.57,9,5,15.4
De Aar,-30.65,289.55,47,71,2.25
Kalmunai,7.42,300.55,81,17,2.33
Mawlaik,23.63,294.99,43,0,1.04
Bukachacha,52.98,274.89,64,64,3.78
Coyhaique,-45.58,285.78,62,75,2.6
Salym,60.06,275.5,94,100,2.39
Wencheng,33.06,282.06,49,0,1.78
Keşan,40.86,279.72,68,0,3.73
Progreso,21.28,314.21,21,75,9.3
Bertoua,4.58,295.24,75,100,2.07
Irati,-25.47,290.92,57,8,0.82
Calabozo,8.92,310.99,17,56,3.66
Sistranda,63.73,274.44,86,75,8.7
Kaeo,-35.1,291.46,89,6,2.68
Pen,18.75,302.15,83,40,1.5
Gornopravdinsk,60.05,276.0,93,100,2.69
Morondava,-20.28,298.15,81,2,3.21
Ballina,-28.87,285.95,100,3,3.72
Dinghaicun,26.28,285.15,62,0,3.0
Gannan,47.91,282.5,39,0,2.12
Pechory,57.82,282.15,42,100,7.0
Tataouine,32.93,289.15,59,89,3.1
Alenquer,-1.94,302.15,79,40,2.1
Vardø,70.37,270.66,92,75,9.3
Vestmanna,62.16,273.15,87,86,4.1
San Rafael,-34.62,292.03,42,100,4.68
Vânători-Neamţ,47.2,281.53,49,0,4.6
